Date,Measurer,DateMeasured,Tank,Treatment,Species,SVL,TL,HW,Girth,Notes,,
3/21/2018,TLA,3/27/2018,1,one_date,AMAN,26.075,50.058,7.747,5.366,,,
3/21/2018,TLA,3/27/2018,1,one_date,AMAN,25.423,43.495,7.904,5.17,,,
3/21/2018,TLA,3/27/2018,1,one_date,AMAN,24.494,48.34,7.986,5.383,,,
3/21/2018,TLA,3/27/2018,1,one_date,AMAN,24.99,46.519,7.851,5.361,,,
3/21/2018,TLA,3/27/2018,1,one_date,AMAN,25.708,49.781,8.087,5.882,,,
3/21/2018,TLA,3/27/2018,2,three_dates,AMAN,24.277,46.515,7.491,4.454,,,
3/21/2018,TLA,3/27/2018,2,three_dates,AMAN,,39.588,7.111,4.042,,,
3/21/2018,TLA,3/27/2018,2,three_dates,AMAN,,35.676,6.961,3.553,,,
3/21/2018,TLA,3/27/2018,3,six_dates,AMAN,,32.908,6.179,3.43,,,
3/21/2018,TLA,3/27/2018,4,three_dates,AMAN,,34.13,7.044,4.101,,,
3/21/2018,TLA,3/27/2018,4,three_dates,AMAN,,38.145,6.895,4.281,,,
3/21/2018,TLA,3/27/2018,4,three_dates,AMAN,,40.497,7.073,4.195,,,
3/21/2018,TLA,3/27/2018,4,three_dates,AMAN,22.433,39.737,7.601,4.548,,,
3/21/2018,TLA,3/27/2018,4,three_dates,AMAN,21.754,40.823,7.213,4.287,,,
3/21/2018,TLA,3/27/2018,5,six_dates,AMAN,,32.216,5.738,3.316,,,
3/21/2018,TLA,3/27/2018,5,six_dates,AMAN,,33.186,6.211,3.27,,,
3/21/2018,TLA,3/27/2018,6,six_dates,AMAN,,18.351,3.655,1.92,,,
3/21/2018,TLA,3/27/2018,7,one_date,AMAN,,30.093,6.102,3.359,,,
3/21/2018,TLA,3/27/2018,7,one_date,AMAN,,32.674,6.359,3.898,,,
3/21/2018,TLA,3/27/2018,7,one_date,AMAN,,38.16,7.103,4.945,,,
3/21/2018,TLA,3/27/2018,7,one_date,AMAN,,36.633,6.773,3.985,,,
3/21/2018,TLA,3/27/2018,8,six_dates,AMAN,28.295,50.517,9.577,6.026,,,
3/21/2018,TLA,3/27/2018,8,six_dates,AMAN,24.802,45.93,8.452,5.617,,,
3/21/2018,TLA,3/27/2018,8,six_dates,AMAN,25.083,47.358,8.321,5.876,,,
3/21/2018,TLA,3/27/2018,8,six_dates,AMAN,,39.511,7.535,4.654,,,
3/21/2018,TLA,3/27/2018,8,six_dates,AMAN,26.477,49.798,9.236,5.536,,,
3/21/2018,TLA,3/27/2018,9,three_dates,AMAN,,40.288,7.34,4.1,,,
3/21/2018,TLA,3/27/2018,9,three_dates,AMAN,20.916,40.07,7.407,4.673,,,
3/21/2018,TLA,3/27/2018,9,three_dates,AMAN,24.038,48.021,7.999,5.2,,,
3/21/2018,TLA,3/27/2018,9,three_dates,AMAN,21.507,41.06,8.084,4.841,,,
3/21/2018,TLA,3/27/2018,10,three_dates,AMAN,,28.84,6.182,3.135,,,
3/21/2018,TLA,3/27/2018,10,three_dates,AMAN,24.925,47.284,8.106,5.313,,,
3/21/2018,TLA,3/27/2018,10,three_dates,AMAN,24.952,45.924,8.226,4.822,,,
3/21/2018,TLA,3/27/2018,10,three_dates,AMAN,22.132,42.42,7.889,5.609,,,
3/21/2018,TLA,3/27/2018,10,three_dates,AMAN,27.177,52.819,9.224,6.29,,,
